ID,Banks,Country,Year,Total_Assets,Operating_Expenses,Interest_Expense,Total_Customer_Deposits,Netloans,Net_Interest,GDP,Inflation,Unemployment
1,PT BANK CENTRAL ASIA TBK,IDN,2009,30041707290,897100933.4,854592889.7,26078692220,12925815263,1585075581,4.628871183,4.38641555,6.106
2,"BANK NEGARA INDONESIA (PERSERO) TBK, PT",IDN,2009,24201781391,741383425.7,882352330.8,20049872675,12121848388,1126004753,4.628871183,4.38641555,6.106
3,BANK RAKYAT INDONESIA (PERSERO) TBK,IDN,2009,33717736151,1272268333,1295736183,27226384185,20931300858,2315573167,4.628871183,4.38641555,6.106
4,BANK MANDIRI (PERSERO) TBK,IDN,2009,41980448835,1030632612,1683173784,33994688221,19797294411,1784797727,4.628871183,4.38641555,6.106
5,MALAYAN BANKING BERHAD - MAYBANK,MY,2009,88215510144,1490534902,1604075858,60354463267,52741851772,1680484377,-1.513528716,0.583308406,3.66
6,CIMB GROUP HOLDINGS BERHAD,MY,2009,70078552266,1669626245,1305552361,52236045675,41529622403,1772202097,-1.513528716,0.583308406,3.66
7,CIMB BANK BERHAD,MY,2009,57239592829,1044055789,797091264.9,42888698198,33137872253,1234898250,-1.513528716,0.583308406,3.66
8,PUBLIC BANK BERHAD,MY,2009,63406674530,589443430.3,968494391.8,37611961961,39519867375,1178695300,-1.513528716,0.583308406,3.66
9,RHB BANK BERHAD,MY,2009,30981004944,392728286.8,435825673.9,23906513390,19602020121,712200622.8,-1.513528716,0.583308406,3.66
10,HONG LEONG FINANCIAL GROUP BHD,MY,2009,24530624895,276341812.9,451679789.6,19094986085,10077577661,437448135.4,-1.513528716,0.583308406,3.66
11,HONG LEONG BANK BERHAD,MY,2009,22521481315,249004977.3,447884189.7,19186191483,9878045503,384136281.1,-1.513528716,0.583308406,3.66
12,AMMB HOLDINGS BERHAD,MY,2009,29477636726,458709450.4,528029036.3,21043114400,19613721458,576414005.3,-1.513528716,0.583308406,3.66
13,AMBANK (M) BERHAD,MY,2009,27480120644,362324786,541490387,21195173676,19577255830,548830136.7,-1.513528716,0.583308406,3.66
14,BDO UNIBANK INC,PH,2009,18596276276,663603404,393713858.9,14887414498,9787643263,659224251.4,1.448323063,4.219030521,3.858
15,BANK OF THE PHILIPPINE ISLANDS,PH,2009,15627318702,420010346.4,269328668.5,12500452770,7064328104,461687798.3,1.448323063,4.219030521,3.858
16,METROPOLITAN BANK & TRUST COMPANY,PH,2009,18429263531,557464395,367505407.4,13281999674,7251700371,575522531.6,1.448323063,4.219030521,3.858
17,DBS GROUP HOLDINGS LTD,SG,2009,1.84E+11,1855493818,1182129126,1.27E+11,93043324224,3174433548,0.127953383,0.596720257,5.86
18,DBS BANK LTD,SG,2009,1.84E+11,1854068708,1182129126,1.27E+11,93043324224,3174433548,0.127953383,0.596720257,5.86
19,OVERSEA-CHINESE BANKING CORPORATION LIMITED OCBC,SG,2009,1.38E+11,1273686060,972131974.3,71706256190,57637692570,2013127424,0.127953383,0.596720257,5.86
20,UNITED OVERSEAS BANK LIMITED,SG,2009,1.32E+11,1485422559,1058423838,86576956770,70686246205,2617833856,0.127953383,0.596720257,5.86
21,KASIKORNBANK PUBLIC COMPANY LIMITED,TH,2009,41026572939,1078322665,390800091.1,29276731020,27322699449,1301781711,-0.690618232,-0.845716092,1.49
22,BANGKOK BANK PUBLIC COMPANY LIMITED,TH,2009,53179697466,1056552951,473208251.1,40838167259,32422739394,1482306743,-0.690618232,-0.845716092,1.49
23,KRUNG THAI BANK PUBLIC COMPANY LIMITED,TH,2009,46333853313,941179430.7,463593291.6,36243227142,31067238311,1276593534,-0.690618232,-0.845716092,1.49
24,THE SIAM COMMERCIAL BANK PUBLIC COMPANY LIMITED,TH,2009,38837278795,935657451.5,378941621.7,28691018235,26980562679,1260654969,-0.690618232,-0.845716092,1.49
25,BANK OF AYUDHYA PUBLIC COMPANY LTD.,TH,2009,23413546712,618441785.8,331345264.3,15621838885,17020500898,852863040.6,-0.690618232,-0.845716092,1.49
26,TMBTHANACHART BANK PUBLIC COMPANY LIMITED,TH,2009,16300938633,498083699,242312471.7,12238281056,10139804921,372375954.1,-0.690618232,-0.845716092,1.49
27,THANACHART CAPITAL PUBLIC COMPANY LIMITED,TH,2009,13804603496,337578856.7,206846297.9,7979393343,8390856379,456798412.1,-0.690618232,-0.845716092,1.49
28,JOINT STOCK COMMERCIAL BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,VN,2009,16522606316,252840638.3,793454303.5,10438681764,11226078211,388740417.7,5.39789754,6.7169827,1.737
29,VIETNAM JOINT-STOCK COMMERCIAL BANK FOR INDUSTRY AND TRADE,VN,2009,13588161316,172427787,310261293.5,8278816033,9008381480,248077024.3,5.39789754,6.7169827,1.737
30,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM- VIETCOMBANK,VN,2009,14240893868,191557489.4,490211905.1,9423753300,7635917882,362224282.1,5.39789754,6.7169827,1.737
31,PT BANK CENTRAL ASIA TBK,IDN,2010,36046563623,1062009345,858197120.7,30898601232,17045600301,1437425349,6.22385418,5.134204008,5.614
32,"BANK NEGARA INDONESIA (PERSERO) TBK, PT",IDN,2010,27620059085,922239121.4,788857119.9,21597187462,14379199938,1304187014,6.22385418,5.134204008,5.614
33,BANK RAKYAT INDONESIA (PERSERO) TBK,IDN,2010,44920622944,1790410242,1272105903,37072488968,26487375406,3613615596,6.22385418,5.134204008,5.614
34,BANK MANDIRI (PERSERO) TBK,IDN,2010,49974950667,1288407459,1601449018,40245795336,26075342734,2168734357,6.22385418,5.134204008,5.614
35,MALAYAN BANKING BERHAD - MAYBANK,MY,2010,1.03E+11,1877295194,1284527111,72727487861,63102093696,2078548920,7.424847383,1.622852356,3.39
36,CIMB GROUP HOLDINGS BERHAD,MY,2010,87342815678,2144391696,1479923149,64800798854,51615234998,2141626131,7.424847383,1.622852356,3.39
37,CIMB BANK BERHAD,MY,2010,68712261883,1252474058,865547339.7,51764168850,40289248311,1372686768,7.424847383,1.622852356,3.39
38,PUBLIC BANK BERHAD,MY,2010,73388124391,681010050.7,1140113811,46726094604,49929630267,1490732812,7.424847383,1.622852356,3.39
39,RHB BANK BERHAD,MY,2010,38733646823,459118676.3,591022048.3,29962001571,26436771357,892984434.3,7.424847383,1.622852356,3.39
40,HONG LEONG FINANCIAL GROUP BHD,MY,2010,28838793391,322375139.3,366223490,21329515606,11825707629,484691028.3,7.424847383,1.622852356,3.39
41,HONG LEONG BANK BERHAD,MY,2010,26017873930,281580664.4,359235001.8,21400673244,11588356283,424450966,7.424847383,1.622852356,3.39
42,AMMB HOLDINGS BERHAD,MY,2010,35769921391,525829340.7,646345881.4,24642903630,22762473012,698830762,7.424847383,1.622852356,3.39
43,AMBANK (M) BERHAD,MY,2010,26895665456,402242308.6,671652071.3,19665771861,18378072002,654998513.7,7.424847383,1.622852356,3.39
44,BDO UNIBANK INC,PH,2010,22806631376,758208968.8,359393876.8,17653253136,11803691678,778352526.2,7.334499965,3.789836348,3.605
45,BANK OF THE PHILIPPINE ISLANDS,PH,2010,20010163284,470365737,304409256.9,16401185209,8630010409,538407210.3,7.334499965,3.789836348,3.605
46,METROPOLITAN BANK & TRUST COMPANY,PH,2010,20219278019,633884026.4,343488669.7,14840196232,8296046634,601344433.7,7.334499965,3.789836348,3.605
47,DBS GROUP HOLDINGS LTD,SG,2010,2.20E+11,2270962764,1072204984,1.46E+11,1.18E+11,3352484518,14.51974971,2.823661349,4.12
48,DBS BANK LTD,SG,2010,2.20E+11,2268633572,1072204984,1.46E+11,1.18E+11,3352484518,14.51974971,2.823661349,4.12
49,OVERSEA-CHINESE BANKING CORPORATION LIMITED OCBC,SG,2010,1.78E+11,1720649869,1099674705,95729835175,81542526749,2287949566,14.51974971,2.823661349,4.12
50,UNITED OVERSEAS BANK LIMITED,SG,2010,1.66E+11,1761444124,1134822997,1.10E+11,87298040803,2742189479,14.51974971,2.823661349,4.12
51,KASIKORNBANK PUBLIC COMPANY LIMITED,TH,2010,51297283059,2096894994,514968018.6,36484246744,34544995351,1550344837,7.513390533,3.247588424,0.622
52,BANGKOK BANK PUBLIC COMPANY LIMITED,TH,2010,64664119181,1061213708,598450195.6,46246817399,39346806959,1513000038,7.513390533,3.247588424,0.622
53,KRUNG THAI BANK PUBLIC COMPANY LIMITED,TH,2010,58454991533,1146819563,538072009.2,41393344119,40020885761,1553785548,7.513390533,3.247588424,0.622
54,THE SIAM COMMERCIAL BANK PUBLIC COMPANY LIMITED,TH,2010,48977978118,1012738298,429503618.7,36221319399,33790038034,1318483263,7.513390533,3.247588424,0.622
55,BANK OF AYUDHYA PUBLIC COMPANY LTD.,TH,2010,28849262177,951046704.6,347983613.7,19119731585,20454745412,1268082481,7.513390533,3.247588424,0.622
56,TMBTHANACHART BANK PUBLIC COMPANY LIMITED,TH,2010,19541632769,420353971.5,259803169.6,13688527623,11382557696,345459138.6,7.513390533,3.247588424,0.622
57,THANACHART CAPITAL PUBLIC COMPANY LIMITED,TH,2010,29249927431,644717155.1,334433089.7,17657192961,19324177080,834734401.6,7.513390533,3.247588424,0.622
58,JOINT STOCK COMMERCIAL BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,VN,2010,19346491352,314746624,1087601801,12925239728,13146972670,485494724.9,6.423244822,9.207466488,1.114
59,VIETNAM JOINT-STOCK COMMERCIAL BANK FOR INDUSTRY AND TRADE,VN,2010,19423761900,383763263.5,1047441014,10876754065,12224490668,638555048.3,6.423244822,9.207466488,1.114
60,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM- VIETCOMBANK,VN,2010,16248750393,237981146.5,654565031.6,10815336570,9045072917,432878941.4,6.423244822,9.207466488,1.114
61,PT BANK CENTRAL ASIA TBK,IDN,2011,42106764118,1203304182,852277502.8,35659050708,22340247817,1856305942,6.169784208,5.35604779,5.153
62,"BANK NEGARA INDONESIA (PERSERO) TBK, PT",IDN,2011,32972233636,1086460302,798341670.7,25501183960,17255182690,1396464710,6.169784208,5.35604779,5.153
63,BANK RAKYAT INDONESIA (PERSERO) TBK,IDN,2011,51808079491,1883751587,1463649825,42366520676,30697353717,3750923239,6.169784208,5.35604779,5.153
64,BANK MANDIRI (PERSERO) TBK,IDN,2011,60848037537,1687154454,1758989735,42417706784,33315747085,2027088300,6.169784208,5.35604779,5.153
65,MALAYAN BANKING BERHAD - MAYBANK,MY,2011,1.42E+11,1240746929,937375195.2,99053271789,86953998281,1267320741,5.293912834,3.174470922,3.05
66,CIMB GROUP HOLDINGS BERHAD,MY,2011,94412602298,2086846707,1890230088,69856198184,57865526186,2101432480,5.293912834,3.174470922,3.05
67,CIMB BANK BERHAD,MY,2011,73783455653,1213598046,1082353791,55548635727,43912393694,1327152343,5.293912834,3.174470922,3.05
68,PUBLIC BANK BERHAD,MY,2011,78866689513,695210574.9,1396946488,49574455693,55383310263,1565920992,5.293912834,3.174470922,3.05
69,RHB BANK BERHAD,MY,2011,45006168323,535422724.9,785104499.8,35769052506,29928666302,913243309.8,5.293912834,3.174470922,3.05
70,HONG LEONG FINANCIAL GROUP BHD,MY,2011,51733082965,444377426.9,552592624.5,37990061095,27227299157,553328926.5,5.293912834,3.174470922,3.05
71,HONG LEONG BANK BERHAD,MY,2011,48170462821,401104458.3,529401761.8,38025672750,26967501107,548229108.5,5.293912834,3.174470922,3.05
72,AMMB HOLDINGS BERHAD,MY,2011,36806641312,593041045.7,717766920.8,25197898615,24668643420,710623505.2,5.293912834,3.174470922,3.05
73,AMBANK (M) BERHAD,MY,2011,26356794266,326806375.6,734329175.7,19348059536,18413060551,649374811.4,5.293912834,3.174470922,3.05
74,BDO UNIBANK INC,PH,2011,24980628135,753164291.3,379894383.9,19440289234,14701056712,768962871.2,3.858232824,4.718417047,3.592
75,BANK OF THE PHILIPPINE ISLANDS,PH,2011,19181752530,528387376.9,291909497,15504940364,10346453596,588827189.3,3.858232824,4.718417047,3.592
76,METROPOLITAN BANK & TRUST COMPANY,PH,2011,21817155996,698415610,355809517.1,15502481795,9917387839,669436370.4,3.858232824,4.718417047,3.592
77,DBS GROUP HOLDINGS LTD,SG,2011,2.62E+11,2539401788,1330053011,1.68E+11,1.50E+11,3709540911,6.214934169,5.247793398,3.89
78,DBS BANK LTD,SG,2011,2.62E+11,2534788888,1330053011,1.73E+11,1.50E+11,3709540911,6.214934169,5.247793398,3.89
79,OVERSEA-CHINESE BANKING CORPORATION LIMITED OCBC,SG,2011,2.14E+11,1870977113,1468108669,1.19E+11,1.03E+11,2621989623,6.214934169,5.247793398,3.89
80,UNITED OVERSEAS BANK LIMITED,SG,2011,1.82E+11,1892008865,1508839044,1.30E+11,1.09E+11,2827675018,6.214934169,5.247793398,3.89
81,KASIKORNBANK PUBLIC COMPANY LIMITED,TH,2011,54366509003,1357442185,858345549.9,39197916848,37000682245,1782545344,7.513390533,3.247588424,0.622
82,BANGKOK BANK PUBLIC COMPANY LIMITED,TH,2011,66482572419,1137841125,919214183.3,50103310341,43855140389,1662796011,7.513390533,3.247588424,0.622
83,KRUNG THAI BANK PUBLIC COMPANY LIMITED,TH,2011,62004563679,1046825226,1027222402,40559825226,43693901304,1589850839,0.840132083,3.808790581,0.66
84,THE SIAM COMMERCIAL BANK PUBLIC COMPANY LIMITED,TH,2011,58324651587,1163850901,865255985.7,37372772927,39433281875,1594322743,0.840132083,3.808790581,0.66
85,BANK OF AYUDHYA PUBLIC COMPANY LTD.,TH,2011,29907272811,867014202.6,598368012,17687560273,21775351279,1182157844,0.840132083,3.808790581,0.66
86,TMBTHANACHART BANK PUBLIC COMPANY LIMITED,TH,2011,22676431911,412377323.5,375877221.9,14272605902,11883993247,449209883.4,0.840132083,3.808790581,0.66
87,THANACHART CAPITAL PUBLIC COMPANY LIMITED,TH,2011,28246221448,1025065399,634385771.5,13753438237,19273411579,767245463.7,0.840132083,3.808790581,0.66
88,JOINT STOCK COMMERCIAL BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,VN,2011,19481248847,347789031.4,1532463739,11547322221,13831363446,606825230.8,6.413168897,18.67773228,0.999
89,VIETNAM JOINT-STOCK COMMERCIAL BANK FOR INDUSTRY AND TRADE,VN,2011,22114649586,443869931.4,1715344235,12352300081,13942664099,962552998.4,6.413168897,18.67773228,0.999
90,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM- VIETCOMBANK,VN,2011,17607176699,351269538.4,1005043828,10899599209,9798803413,596393312.3,6.413168897,18.67773228,0.999
91,PT BANK CENTRAL ASIA TBK,IDN,2012,45977600645,1334687864,788252075.4,38430117970,26710144931,2196453585,6.030050653,4.279499996,4.468
92,"BANK NEGARA INDONESIA (PERSERO) TBK, PT",IDN,2012,34592993760,1177111844,718746213.7,26742172538,20117764767,1536255994,6.030050653,4.279499996,4.468
93,BANK RAKYAT INDONESIA (PERSERO) TBK,IDN,2012,57222290773,2022940462,1307634622,46721989411,36024044257,3702434853,6.030050653,4.279499996,4.468
94,BANK MANDIRI (PERSERO) TBK,IDN,2012,65969765105,1852686809,1558884224,45961375010,38858195382,2406165566,6.030050653,4.279499996,4.468
95,MALAYAN BANKING BERHAD - MAYBANK,MY,2012,1.62E+11,2707776580,2077993555,1.14E+11,1.02E+11,3039870741,5.473454193,1.663571025,3.1
96,CIMB GROUP HOLDINGS BERHAD,MY,2012,1.10E+11,2489037439,2009229068,80861613945,66095908227,2418337205,5.473454193,1.663571025,3.1
97,CIMB BANK BERHAD,MY,2012,87110806251,1443420209,1253361195,65474773612,50908709513,1480610431,5.473454193,1.663571025,3.1
98,PUBLIC BANK BERHAD,MY,2012,89863140338,790514156.9,1683837433,57949991713,64105811015,1718186815,5.473454193,1.663571025,3.1
99,RHB BANK BERHAD,MY,2012,55697063479,639160283,958753830.9,43012152919,35259184319,1001024736,5.473454193,1.663571025,3.1
100,HONG LEONG FINANCIAL GROUP BHD,MY,2012,53408549422,656654041.8,938529266.2,38632013134,27941905883,812587265,5.473454193,1.663571025,3.1
101,HONG LEONG BANK BERHAD,MY,2012,49470847150,603510287.1,890182188.3,38594026302,27651071888,815744186.3,5.473454193,1.663571025,3.1
102,AMMB HOLDINGS BERHAD,MY,2012,41305571008,681287977.5,746310801.6,27466402368,26739947807,718292994.7,5.473454193,1.663571025,3.1
103,AMBANK (M) BERHAD,MY,2012,27437374686,345179523.6,739594272.8,20112602750,19325192387,663738358.6,5.473454193,1.663571025,3.1
104,BDO UNIBANK INC,PH,2012,30140002609,873494844.5,434380457.8,22544717193,18018717045,876893562.7,6.896951708,3.026963911,3.504
105,BANK OF THE PHILIPPINE ISLANDS,PH,2012,23918260586,561201198.4,307219845.4,19476451541,12785006668,666488631.8,6.896951708,3.026963911,3.504
106,METROPOLITAN BANK & TRUST COMPANY,PH,2012,25408889819,810230133.6,343804618.8,17932947964,12312075036,749028930.1,6.896951708,3.026963911,3.504
107,DBS GROUP HOLDINGS LTD,SG,2012,2.89E+11,2953820937,1909276621,1.97E+11,1.72E+11,4319574889,4.435497594,4.575602704,3.72
108,DBS BANK LTD,SG,2012,2.89E+11,2948916973,1909276621,1.99E+11,1.72E+11,4319574889,4.435497594,4.575602704,3.72
109,OVERSEA-CHINESE BANKING CORPORATION LIMITED OCBC,SG,2012,2.42E+11,2189964804,1814295830,1.35E+11,1.16E+11,3063133562,4.435497594,4.575602704,3.72
110,UNITED OVERSEAS BANK LIMITED,SG,2012,2.07E+11,2251542244,1867284795,1.49E+11,1.25E+11,3201478471,4.435497594,4.575602704,3.72
111,KASIKORNBANK PUBLIC COMPANY LIMITED,TH,2012,67820242339,1532210304,1064031940,45423028299,41960264272,2075667009,7.242796202,3.014899503,0.58
112,BANGKOK BANK PUBLIC COMPANY LIMITED,TH,2012,79027526200,1212692641,1315896035,59894163033,49659111401,1793964446,7.242796202,3.014899503,0.58
113,KRUNG THAI BANK PUBLIC COMPANY LIMITED,TH,2012,73665423144,1153807762,1425833161,54419639206,48331295323,1897465408,7.242796202,3.014899503,0.58
114,THE SIAM COMMERCIAL BANK PUBLIC COMPANY LIMITED,TH,2012,74108663207,1384242809,1348117663,52692612826,48936165145,2027448827,7.242796202,3.014899503,0.58
115,BANK OF AYUDHYA PUBLIC COMPANY LTD.,TH,2012,34995413916,1005434412,805932455.3,22433010898,26157171659,1304306695,7.242796202,3.014899503,0.58
116,TMBTHANACHART BANK PUBLIC COMPANY LIMITED,TH,2012,23404752979,448670142.3,444410358.2,16197587197,13997016492,557104441.6,7.242796202,3.014899503,0.58
117,THANACHART CAPITAL PUBLIC COMPANY LIMITED,TH,2012,33426666964,1134894254,841106949.1,22637384523,23880945647,791153370.6,7.242796202,3.014899503,0.58
118,JOINT STOCK COMMERCIAL BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,VN,2012,23271364151,223327439.3,1116707489,14575382715,16039908562,448090171.3,5.504544704,9.094703396,1.027
119,VIETNAM JOINT-STOCK COMMERCIAL BANK FOR INDUSTRY AND TRADE,VN,2012,24175641217,459988953.8,1547951688,13880608069,15828828287,884387548.7,5.504544704,9.094703396,1.027
120,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM- VIETCOMBANK,VN,2012,19899897730,295169529.2,998314953.2,13655394944,11324657924,525931098.5,5.504544704,9.094703396,1.027
121,PT BANK CENTRAL ASIA TBK,IDN,2013,40655154274,1198546975,636892470.2,33543327572,25565165046,2158120192,5.557263689,6.412513302,4.336
122,"BANK NEGARA INDONESIA (PERSERO) TBK, PT",IDN,2013,31673113668,1062893124,568726864.1,23910400094,19967600115,1488954478,5.557263689,6.412513302,4.336
